,id,category
10,DB00051,"Agents reducing cytokine levels; Amino Acids, Peptides, and Proteins; Anti-Inflammatory Agents; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized; Antineoplastic and Immunomodulating Agents; Antirheumatic Agents; Biological Products; Biologics for Rheumatoid Arthritis Treatment; Blood Proteins; Disease-modifying Antirheumatic Agents; Globulins; Immunoglobulins; Immunoproteins; Immunosuppressive Agents; Miscellaneous GI Drugs; Proteins; Serum Globulins; Tumor necrosis factor alpha (TNF-alpha) inhibitors; Tumor Necrosis Factor Blockers; Tumor Necrosis Factor Receptor Blocking Activity"
11,DB00055,"Amino Acids, Peptides, and Proteins; Anti-Infective Agents; Anticoagulants; Biological Factors; Blood and Blood Forming Organs; Blood Coagulation Factor Inhibitors; Blood Proteins; Carbohydrates; Enzyme Precursors; Enzymes; Enzymes and Coenzymes; Fibrinolytic Agents; Glycoconjugates; Glycoproteins; Protein Precursors; Proteins; Recombinant Activated Protein C"
12,DB00095,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized; Antigens, CD11; Antineoplastic and Immunomodulating Agents; Blood Proteins; Cancer immunotherapy; CD11a-directed Antibody Interactions; CD11a-directed Humanized IgG1 Antibody; Globulins; Immunoglobulins; Immunoproteins; Immunosuppressive Agents; Immunotherapy; Proteins; Selective Immunosuppressants; Serum Globulins"
13,DB00102,"Acids; Acids, Noncarboxylic; Alimentary Tract and Metabolism; Amino Acids, Peptides, and Proteins; Angiogenesis Inducing Agents; Angiogenesis Modulating Agents; Biological Factors; Blood Proteins; Cicatrizants; Dermatologicals; DNA-Binding Proteins; Growth Substances; Hematologic Agents; Human Platelet-derived Growth Factor; Intercellular Signaling Peptides and Proteins; Neoplasm Proteins; Oncogene Proteins; Peptides; Phosphoric Acids; Phosphorus Acids; Phosphorus Compounds; Platelet-Derived Growth Factor; Preparations for Treatment of Wounds and Ulcers; Proteins; Proto-Oncogene Proteins; Proto-Oncogene Proteins c-sis; Stomatological Preparations"
14,DB00103,"Alimentary Tract and Metabolism; Amino Acids, Peptides, and Proteins; Enzymes; Enzymes and Coenzymes; Galactosidases; Glycoside Hydrolases; Hydrolases; Hydrolytic Lysosomal Neutral Glycosphingolipid-specific Enzyme; Protein Isoforms; Proteins"
15,DB00110,"Amino Acids, Peptides, and Proteins; Anti-Infective Agents; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized; Antiinfectives for Systemic Use; Antiviral Agents; Antiviral monoclonal antibodies; Blood Proteins; Fusion Protein Inhibitors; Globulins; Immune Sera and Immunoglobulins; Immunoglobulins; Immunoproteins; Proteins; Respiratory Syncytial Virus Anti-F Protein Monoclonal Antibody; Serum Globulins; Specific Immunoglobulins"
16,DB00112,"Amino Acids, Peptides, and Proteins; Angiogenesis Inhibitors; Angiogenesis Modulating Agents; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized; Antineoplastic Agents; Antineoplastic Agents, Immunological; Antineoplastic and Immunomodulating Agents; Antineovascularisation Agents; Blood Proteins; Cancer immunotherapy; Cardiotoxic antineoplastic agents; Experimental Unapproved Treatments for COVID-19; Globulins; Growth Inhibitors; Immunoglobulins; Immunoproteins; Immunotherapy; MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES; Narrow Therapeutic Index Drugs; Ocular Vascular Disorder Agents; Ophthalmologicals; Proteins; Sensory Organs; Serum Globulins; Vascular Endothelial Growth Factor Inhibitor; Vascular Endothelial Growth Factor Inhibitors; Vascular Endothelial Growth Factor-directed Antibody Interactions; VEGF/VEGFR (Vascular Endothelial Growth Factor) inhibitors"
17,DB00133,"Amino Acids; Amino Acids, Neutral; Amino Acids, Peptides, and Proteins; Dietary Supplements; Proteinogenic Amino Acids; Supplements"
18,DB00134,"Amino Acids; Amino Acids, Essential; Amino Acids, Neutral; Amino Acids, Peptides, and Proteins; Amino Acids, Sulfur; Antidotes; Dietary Supplements; Proteinogenic Amino Acids; Sulfur Compounds; Supplements"
19,DB00148,"Amidines; Amino Acids; Amino Acids, Peptides, and Proteins; Dietary Supplements; Guanidines; Supplements"
20,DB00149,"Amino Acids; Amino Acids, Branched-Chain; Amino Acids, Essential; Amino Acids, Peptides, and Proteins; Dietary Supplements; Proteinogenic Amino Acids; Supplements"
21,DB00174,"Amino Acids; Amino Acids, Basic; Amino Acids, Diamino; Amino Acids, Neutral; Amino Acids, Peptides, and Proteins; Dietary Supplements; Proteinogenic Amino Acids; Supplements"
22,DB00179,"Analgesics; Analgesics, Non-Narcotic; Anti-Inflammatory Agents; Antineoplastic Agents; Antineoplastic and Immunomodulating Agents; Antioxidants; Benzene Derivatives; Benzyl Compounds; Biological Factors; Catechols; Compounds used in a research, industrial, or household setting; Cyclooxygenase Inhibitors; Enzyme Inhibitors; Hydrocarbons; Hydrocarbons, Aromatic; Hydrocarbons, Cyclic; Lignans; Lipoxygenase Inhibitors; Peripheral Nervous System Agents; Phenols; Protective Agents; Sensory System Agents"
23,DB00189,Alcohols; Central Nervous System Agents; Central Nervous System Depressants; Chlorohydrins; Hypnotics and Sedatives; Nervous System; Psycholeptics
24,DB00191,"Adrenergic Agents; Agents producing tachycardia; Agents that produce hypertension; Alimentary Tract and Metabolism; Amines; Amphetamines; Anti-Obesity Agents; Antiobesity Preparations, Excl. Diet Products; Appetite Depressants; Appetite Suppression; Autonomic Agents; Central Nervous System Agents; Centrally Acting Antiobesity Products; Cytochrome P-450 CYP3A Substrates; Cytochrome P-450 CYP3A4 Substrates; Cytochrome P-450 CYP3A4 Substrates (strength unknown); Cytochrome P-450 Substrates; Increased Sympathetic Activity; Monoamine Oxidase A Inhibitors  for interaction with Monoamine Oxidase A substrates; Neurotransmitter Agents; Peripheral Nervous System Agents; Phenethylamines; Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome; Sympathomimetic Amine Anorectic; Sympathomimetics"
25,DB00197,"Alimentary Tract and Metabolism; Azoles; Benzopyrans; Blood Glucose Lowering Agents; BSEP/ABCB11 Inhibitors; Chromans; Cytochrome P-450 CYP2B6 Inducers; Cytochrome P-450 CYP2B6 Inducers (strength unknown); Cytochrome P-450 CYP2C19 Inhibitors; Cytochrome P-450 CYP2C19 inhibitors (strength unknown); Cytochrome P-450 CYP2C8 Inhibitors; Cytochrome P-450 CYP2C8 Inhibitors (moderate); Cytochrome P-450 CYP2C8 Substrates; Cytochrome P-450 CYP2C9 Inhibitors; Cytochrome P-450 CYP2C9 Inhibitors (moderate); Cytochrome P-450 CYP2C9 Substrates; Cytochrome P-450 CYP3A Inducers; Cytochrome P-450 CYP3A Inhibitors; Cytochrome P-450 CYP3A4 Inducers; Cytochrome P-450 CYP3A4 Inducers (strength unknown); Cytochrome P-450 CYP3A5 Inhibitors; Cytochrome P-450 CYP3A5 Inhibitors (strength unknown); Cytochrome P-450 CYP3A7 Inhibitors; Cytochrome P-450 CYP3A7 Inhibitors (strength unknown); Cytochrome P-450 Enzyme Inducers; Cytochrome P-450 Enzyme Inhibitors; Cytochrome P-450 Substrates; Drugs Used in Diabetes; Heterocyclic Compounds; Heterocyclic Compounds, 1-Ring; Heterocyclic Compounds, 2-Ring; Heterocyclic Compounds, Fused-Ring; OATP1B1/SLCO1B1 Inhibitors; Oral Hypoglycemics; Pyrans; Sulfur Compounds; Thiazoles; Thiazolidinediones; UGT1A1 Substrates; UGT1A3 substrates; UGT1A4 substrates; UGT1A6 Inhibitors; UGT1A6 substrate; UGT1A9 Substrates; UGT2B7 substrates"
26,DB00204,"Amides; Amines; Antiarrhythmic agents; Antiarrhythmics, Class III; Cardiac Therapy; Cardiovascular Agents; Cardiovascular System; Cytochrome P-450 CYP3A Substrates; Cytochrome P-450 CYP3A4 Substrates; Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index; Cytochrome P-450 Substrates; Ethylamines; Highest Risk QTc-Prolonging Agents; Membrane Transport Modulators; Narrow Therapeutic Index Drugs; OCT2 Substrates; OCT2 Substrates with a Narrow Therapeutic Index; Potassium Channel Blockers; QTc Prolonging Agents; Sulfones; Sulfur Compounds"
27,DB00212,"Agents Acting on the Renin-Angiotensin System; Antihypertensive Agents; Azoles; Cardiovascular Agents; Cardiovascular System; Enzyme Inhibitors; Heterocyclic Compounds; Heterocyclic Compounds, 1-Ring; Protease Inhibitors; Renin Inhibitors"
28,DB00214,"Antihypertensive Agents; Antihypertensive Agents Indicated for Hypertension; Cardiovascular Agents; Cardiovascular System; Cytochrome P-450 CYP2C8 Substrates; Cytochrome P-450 CYP2C9 Inhibitors; Cytochrome P-450 CYP2C9 Inhibitors (strength unknown); Cytochrome P-450 CYP2C9 Substrates; Cytochrome P-450 Enzyme Inhibitors; Cytochrome P-450 Substrates; Diuretics; Heterocyclic Compounds; Heterocyclic Compounds, 1-Ring; High-Ceiling Diuretics; Hyperglycemia-Associated Agents; Hypotensive Agents; Increased Diuresis at Loop of Henle; Membrane Transport Modulators; Natriuretic Agents; Non Potassium Sparing Diuretics; OATP1B1/SLCO1B1 Substrates; Ototoxic agents; Pyridines; Sodium Potassium Chloride Symporter Inhibitors; Sulfonamides; Sulfones; Sulfur Compounds"
29,DB00226,Adrenergic Antagonists; Amidines; Antihypertensive Agents; Cardiovascular Agents
30,DB00247,"Agents that produce hypertension; Alkaloids; Analgesics; Antidepressive Agents; Antimigraine Preparations; Cardiovascular Agents; Central Nervous System Depressants; Cytochrome P-450 CYP3A Substrates; Cytochrome P-450 CYP3A4 Substrates; Cytochrome P-450 CYP3A4 Substrates (strength unknown); Cytochrome P-450 Substrates; Ergolines; Ergot Alkaloids and Derivatives; Heterocyclic Compounds; Heterocyclic Compounds with 4 or More Rings; Heterocyclic Compounds, Fused-Ring; Lysergic Acid; Nervous System; Neurotransmitter Agents; Serotonin 5-HT2 Receptor Antagonists; Serotonin 5-HT2A Receptor Antagonists; Serotonin 5-HT2C Receptor Antagonists; Serotonin Agents; Serotonin Receptor Antagonists; Vasoconstrictor Agents"
31,DB00265,"Agrochemicals; Amines; Aniline Compounds; Antipruritics; Benzene Derivatives; Compounds used in a research, industrial, or household setting; Hydrocarbons; Hydrocarbons, Aromatic; Hydrocarbons, Cyclic; Pesticides; Scabicides and Pediculicides; Toxic Actions"
32,DB00266,"4-Hydroxycoumarins; Anticoagulants; Benzopyrans; Blood and Blood Forming Organs; Coumarins; Cytochrome P-450 CYP2C9 Substrates; Cytochrome P-450 CYP2C9 Substrates with a Narrow Therapeutic Index; Cytochrome P-450 Substrates; Enzyme Inhibitors; Fibrinolytic Agents; Hematologic Agents; Heterocyclic Compounds; Heterocyclic Compounds, 1-Ring; Heterocyclic Compounds, 2-Ring; Heterocyclic Compounds, Fused-Ring; Narrow Therapeutic Index Drugs; Pyrans; Uncoupling Agents; Vitamin K Antagonists"
33,DB00270,"Agents causing hyperkalemia; Antiarrhythmic agents; Antihypertensive Agents; Antihypertensive Agents Indicated for Hypertension; Bradycardia-Causing Agents; BSEP/ABCB11 Substrates; Calcium Channel Blockers; Calcium Channel Blockers (Dihydropyridine); Calcium-Regulating Hormones and Agents; Cardiovascular Agents; Cardiovascular System; Cytochrome P-450 CYP3A Inhibitors; Cytochrome P-450 CYP3A Substrates; Cytochrome P-450 CYP3A4 Inhibitors; Cytochrome P-450 CYP3A4 Inhibitors (moderate); Cytochrome P-450 CYP3A4 Substrates; Cytochrome P-450 Enzyme Inhibitors; Cytochrome P-450 Substrates; Dihydropyridine Derivatives; Dihydropyridines; Drugs that are Mainly Renally Excreted; Heterocyclic Compounds; Heterocyclic Compounds, 1-Ring; Hypotensive Agents; Membrane Transport Modulators; P-glycoprotein inhibitors; Potential QTc-Prolonging Agents; Pyridines; QTc Prolonging Agents; Selective Calcium Channel Blockers With Mainly Vascular Effects; Vasodilating Agents"
34,DB00274,"Amides; Anti-Bacterial Agents; Anti-Infective Agents; Antibacterials for Systemic Use; Antiinfectives for Systemic Use; beta-Lactams; Cephalosporins; Cephamycins; Heterocyclic Compounds; Heterocyclic Compounds, 2-Ring; Heterocyclic Compounds, Fused-Ring; Lactams; Nephrotoxic agents; Second-Generation Cephalosporins; Sulfur Compounds; Thiazines"
35,DB00283,"Aminoalkyl Ethers; Anti-Allergic Agents; Antihistamines for Systemic Use; Antihistamines for Topical Use; Antipruritics; Antipruritics, Incl. Antihistamines, Anesthetics, Etc.; Central Nervous System Depressants; Cytochrome P-450 CYP2D6 Inhibitors; Cytochrome P-450 CYP2D6 Inhibitors (strength unknown); Cytochrome P-450 Enzyme Inhibitors; Dermatologicals; Heterocyclic Compounds; Heterocyclic Compounds, 1-Ring; Highest Risk QTc-Prolonging Agents; Histamine Agents; Histamine Antagonists; Histamine H1 Antagonists; Neurotransmitter Agents; Pyrrolidines; QTc Prolonging Agents; Respiratory System"
36,DB00294,"Adrenal Cortex Hormones; Combination Contraceptives (with Estrogen and derivatives); Contraceptive Agents, Female; Contraceptive Agents, Hormonal; Cytochrome P-450 CYP3A Substrates; Cytochrome P-450 CYP3A4 Substrates; Cytochrome P-450 Substrates; Drugs that are Mainly Renally Excreted; Fused-Ring Compounds; Genito Urinary System and Sex Hormones; Hormonal Contraceptives for Systemic Use; Hyperglycemia-Associated Agents; Intravaginal Contraceptives; Norpregnanes; Norpregnenes; Norsteroids; Polycyclic Compounds; Progesterone Congeners; Progestins; Reproductive Control Agents; Sex Hormones and Modulators of the Genital System; Steroids"
37,DB00301,"Amides; Anti-Bacterial Agents; Anti-Infective Agents; Antibacterials for Systemic Use; Antiinfectives for Systemic Use; Beta-Lactam Antibacterials; Beta-Lactamase Resistant Penicillins; beta-Lactams; BSEP/ABCB11 Substrates; Cytochrome P-450 CYP3A Inducers; Cytochrome P-450 CYP3A Substrates; Cytochrome P-450 CYP3A4 Inducers; Cytochrome P-450 CYP3A4 Inducers (strength unknown); Cytochrome P-450 CYP3A4 Substrates; Cytochrome P-450 Enzyme Inducers; Cytochrome P-450 Substrates; Heterocyclic Compounds; Heterocyclic Compounds, 2-Ring; Heterocyclic Compounds, Fused-Ring; Lactams; Penicillins; Sulfur Compounds"
38,DB00306,"Anticholinergic Agents; Barbiturates, Plain; Central Nervous System Depressants; Heterocyclic Compounds; Heterocyclic Compounds, 1-Ring; Hypnotics and Sedatives; Nervous System; Nicotinic Antagonists; Psycholeptics; Pyrimidines; Pyrimidinones"
39,DB00311,"Amides; Azoles; Benzothiazoles; Carbonic Anhydrase Inhibitors; Diuretics; Enzyme Inhibitors; Heterocyclic Compounds; Heterocyclic Compounds, 1-Ring; Heterocyclic Compounds, 2-Ring; Heterocyclic Compounds, Fused-Ring; Natriuretic Agents; OAT1/SLC22A6 inhibitors; Sulfonamides; Sulfones; Sulfur Compounds; Thiazoles"
40,DB00312,"Adjuvants, Anesthesia; Anticholinergic Agents; Anticonvulsants; Barbiturates; Barbiturates, Plain; Central Nervous System Agents; Central Nervous System Depressants; Cytochrome P-450 CYP2A6 Inducers; Cytochrome P-450 CYP2A6 Inducers (strong); Cytochrome P-450 CYP2C19 Substrates; Cytochrome P-450 CYP3A Inducers; Cytochrome P-450 CYP3A Inducers (strong); Cytochrome P-450 CYP3A4 Inducers; Cytochrome P-450 CYP3A4 Inducers (strong); Cytochrome P-450 Enzyme Inducers; Cytochrome P-450 Substrates; Drugs that are Mainly Renally Excreted; GABA Agents; GABA Modulators; Heterocyclic Compounds; Heterocyclic Compounds, 1-Ring; Hypnotics and Sedatives; Nervous System; Neurotransmitter Agents; Nicotinic Antagonists; Psycholeptics; Pyrimidines; Pyrimidinones"
41,DB00323,"Anti-Dyskinesia Agents; Anti-Parkinson Drugs; Benzene Derivatives; Benzophenones; Central Nervous System Agents; Central Nervous System Depressants; COMT Inhibitors; Cytochrome P-450 CYP2C9 Inhibitors; Cytochrome P-450 CYP2C9 Inhibitors (strength unknown); Cytochrome P-450 Enzyme Inhibitors; Dopamine Agents; Drugs that are Mainly Renally Excreted; Enzyme Inhibitors; Hydrocarbons; Hydrocarbons, Aromatic; Hydrocarbons, Cyclic; Hypotensive Agents; Ketones; Nervous System; Nitro Compounds; Nitrophenols; Phenols"
42,DB00340,"Agents producing tachycardia; Anti-Parkinson Drugs; Anticholinergic Agents; Heterocyclic Compounds; Heterocyclic Compounds, 3-Ring; Heterocyclic Compounds, Fused-Ring; Muscarinic Antagonists; Nervous System; Sulfur Compounds; Tertiary Amines; Xanthenes"
43,DB00344,"Adrenergic Agents; Adrenergic Uptake Inhibitors; Agents that produce hypertension; Agents that reduce seizure threshold; Antidepressive Agents; Antidepressive Agents Indicated for Depression; Antidepressive Agents, Tricyclic; Benzocycloheptenes; Central Nervous System Agents; Central Nervous System Depressants; Combined Inhibitors of Serotonin/Norepinephrine Reuptake; Dibenzocycloheptenes; Hydrocarbons; Hydrocarbons, Aromatic; Hydrocarbons, Cyclic; Membrane Transport Modulators; Narrow Therapeutic Index Drugs; Nervous System; Neurotoxic agents; Neurotransmitter Agents; Neurotransmitter Uptake Inhibitors; Non-Selective Monoamine Reuptake Inhibitors; P-glycoprotein inhibitors; Polycyclic Compounds; Polycyclic Hydrocarbons, Aromatic; Potential QTc-Prolonging Agents; Psychoanaleptics; Psychotropic Drugs; QTc Prolonging Agents; Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome; Serotonin Agents; Serotonin Modulators"
44,DB00353,"Agents that produce hypertension; Alkaloids; Cytochrome P-450 CYP3A Inhibitors; Cytochrome P-450 CYP3A Substrates; Cytochrome P-450 CYP3A4 Inhibitors; Cytochrome P-450 CYP3A4 Inhibitors (strength unknown); Cytochrome P-450 CYP3A4 Substrates; Cytochrome P-450 Enzyme Inhibitors; Cytochrome P-450 Substrates; Dopamine Antagonists; Ergolines; Ergonovine; Ergot Alkaloids and Derivatives; Genito Urinary System and Sex Hormones; Heterocyclic Compounds; Heterocyclic Compounds with 4 or More Rings; Heterocyclic Compounds, Fused-Ring; Reproductive Control Agents; Uterotonic agents"
45,DB00354,"Agents producing tachycardia; Anticholinergic Agents; Antihistamines for Systemic Use; Heterocyclic Compounds; Heterocyclic Compounds, 1-Ring; Histamine Agents; Histamine Antagonists; Histamine H1 Antagonists; Muscarinic Antagonists; Neurotransmitter Agents; Piperazine Derivatives; Potential QTc-Prolonging Agents; QTc Prolonging Agents; Respiratory System"
46,DB00356,"Benzoxazoles and derivatives; Central Nervous System Agents; Central Nervous System Depressants; Centrally-mediated Muscle Relaxation; Cytochrome P-450 CYP1A2 Substrates; Cytochrome P-450 CYP2A6 Substrates; Cytochrome P-450 CYP2D6 Substrates; Cytochrome P-450 CYP2E1 Inhibitors; Cytochrome P-450 CYP2E1 Inhibitors (strength unknown); Cytochrome P-450 CYP2E1 Substrates; Cytochrome P-450 CYP3A Inhibitors; Cytochrome P-450 CYP3A Substrates; Cytochrome P-450 CYP3A4 Inhibitors; Cytochrome P-450 CYP3A4 Inhibitors (weak); Cytochrome P-450 CYP3A4 Substrates; Cytochrome P-450 Enzyme Inhibitors; Cytochrome P-450 Substrates; Drugs that are Mainly Renally Excreted; Heterocyclic Compounds; Heterocyclic Compounds, 2-Ring; Heterocyclic Compounds, Fused-Ring; Muscle Relaxants; Muscle Relaxants, Centrally Acting Agents; Musculo-Skeletal System; Oxazol, Thiazine, and Triazine Derivatives; Peripheral Nervous System Agents"
47,DB00365,"Anti-Bacterial Agents; Anti-Infective Agents; Antibacterials for Systemic Use; Antiinfectives for Systemic Use; Cytochrome P-450 CYP1A2 Inhibitors; Cytochrome P-450 CYP1A2 Inhibitors (strength unknown); Cytochrome P-450 CYP1A2 Substrates; Cytochrome P-450 CYP3A Substrates; Cytochrome P-450 CYP3A4 Substrates; Cytochrome P-450 Enzyme Inhibitors; Cytochrome P-450 Substrates; Enzyme Inhibitors; Fluoroquinolones; Heterocyclic Compounds; Heterocyclic Compounds, 1-Ring; Heterocyclic Compounds, 2-Ring; Heterocyclic Compounds, Fused-Ring; Highest Risk QTc-Prolonging Agents; OAT1/SLC22A6 Substrates; OCT2 Inhibitors; P-glycoprotein inhibitors; P-glycoprotein substrates; QTc Prolonging Agents; Quinolines; Quinolones; Topoisomerase II Inhibitors; Topoisomerase Inhibitors"
48,DB00371,"Acids, Acyclic; Anti-Anxiety Agents; Carbamates; Carboxylic Acids; Central Nervous System Agents; Central Nervous System Depressants; Hypnotics and Sedatives; Muscle Relaxants; Muscle Relaxants, Centrally Acting Agents; Nervous System; Peripheral Nervous System Agents; Psycholeptics; Psychotropic Drugs; Tranquilizing Agents"
49,DB00372,"Antiemetics; Antihistamines for Systemic Use; Antipsychotic Agents; Autonomic Agents; Central Nervous System Agents; Central Nervous System Depressants; Dopamine Agents; Dopamine Antagonists; Dopamine D2 Receptor Antagonists; Drugs that are Mainly Renally Excreted; Gastrointestinal Agents; Heterocyclic Compounds; Heterocyclic Compounds, 1-Ring; Heterocyclic Compounds, 3-Ring; Heterocyclic Compounds, Fused-Ring; Neurotoxic agents; Neurotransmitter Agents; Peripheral Nervous System Agents; Phenothiazine Derivatives; Phenothiazines; Piperazines; Respiratory System; Sulfur Compounds"
50,DB00389,"Agents Causing Muscle Toxicity; Antithyroid agents; Azoles; Heterocyclic Compounds; Heterocyclic Compounds, 1-Ring; Hormone Antagonists; Hormones, Hormone Substitutes, and Hormone Antagonists; Imidazoles; Sulfur-Containing Imidazole Derivatives; Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins; Thyroid Products"
51,DB00392,"Adrenergic Agents; Adrenergic Antagonists; Agents producing tachycardia; Anti-Parkinson Drugs; Anticholinergic Agents; Cholinergic Agents; Cholinesterase Inhibitors; Heterocyclic Compounds; Heterocyclic Compounds, 3-Ring; Heterocyclic Compounds, Fused-Ring; Histamine Agents; Muscarinic Antagonists; Nervous System; Neurotransmitter Agents; NMDA Receptor Antagonists; Sulfur Compounds; Tertiary Amines"
52,DB00397,Adrenergic Agents; Adrenergic Agonists; Adrenergic alpha-Agonists; Adrenergic beta-2 Receptor Agonists; Adrenergic beta-Agonists; Agents producing tachycardia; Agents that produce hypertension; Agents that reduce seizure threshold; Alcohols; Amines; Amino Alcohols; Anti-Obesity Agents; Appetite Depressants; Autonomic Agents; Cardiovascular Agents; Monoamine Oxidase A Inhibitors  for interaction with Monoamine Oxidase A substrates; Nasal Decongestants; Nasal Decongestants for Systemic Use; Nasal Preparations; Neurotransmitter Agents; Peripheral Nervous System Agents; Propanolamines; Propanols; Respiratory System; Respiratory System Agents; Sympathomimetics; Vasoconstrictor Agents
53,DB00400,"Anti-Infective Agents; Antifungal Agents; Antifungals for Dermatological Use; Antifungals for Systemic Use; Antifungals for Topical Use; Benzofurans; Cytochrome P-450 CYP1A2 Inducers; Cytochrome P-450 CYP1A2 Inducers (strength unknown); Cytochrome P-450 CYP3A Inducers; Cytochrome P-450 CYP3A4 Inducers; Cytochrome P-450 CYP3A4 Inducers (strength unknown); Cytochrome P-450 Enzyme Inducers; Decreased Mitosis; Dermatologicals; Heterocyclic Compounds; Heterocyclic Compounds, 2-Ring; Heterocyclic Compounds, Fused-Ring; Macrocyclic Compounds; Microtubule Inhibition; Tubulin Inhibiting Agent"
